"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_0"	52	"RSL1D1"	114	"HiG"
"HiG_0"	0	"OAZ2"	250.5	"HiG"
"HiG_0"	25	"ANP32E"	131	"HiG"
"HiG_0"	0	"MYL12B"	250.5	"HiG"
"HiG_0"	0	"COX6B1"	250.5	"HiG"
"HiG_0"	253	"RPS5"	81	"HiG"
"HiG_0"	0	"SELENOW"	250.5	"HiG"
"HiG_0"	301	"OAZ1"	76	"HiG"
"HiG_0"	0	"REXO2"	250.5	"HiG"
"HiG_0"	3	"MCM3"	166	"HiG"
"HiG_0"	0	"SEM1"	250.5	"HiG"
"HiG_0"	322	"CCNA2"	67	"HiG"
"HiG_0"	0	"DDX24"	250.5	"HiG"
"HiG_0"	985	"CD24"	29	"HiG"
"HiG_0"	0	"SPATS2L"	250.5	"HiG"
"HiG_0"	0	"NDUFB1"	250.5	"HiG"
"HiG_0"	64	"DBI"	112	"HiG"
"HiG_0"	0	"HSPH1"	250.5	"HiG"
"HiG_0"	2014	"FDFT1"	16	"HiG"
"HiG_0"	777	"ACTB"	37	"HiG"
"HiG_0"	321	"SNRPN"	69	"HiG"
"HiG_0"	0	"UBE2T"	250.5	"HiG"
"HiG_0"	312	"ENO1"	74.5	"HiG"
"HiG_0"	0	"ACBD6"	250.5	"HiG"
"HiG_0"	5	"COX7B"	160	"HiG"
"HiG_0"	0	"POLR3G"	250.5	"HiG"
"HiG_0"	17	"TPM3"	139	"HiG"
"HiG_0"	29	"DEK"	128	"HiG"
"HiG_0"	1028	"CALM1"	28	"HiG"
"HiG_0"	34	"CALM2"	121.5	"HiG"
"HiG_0"	0	"AP1S2"	250.5	"HiG"
"HiG_1"	0	"SLC7A2"	916	"HiG"
"HiG_1"	0	"MAP4K5"	916	"HiG"
"HiG_1"	0	"ERCC1"	916	"HiG"
"HiG_1"	8	"SNAI2"	571	"HiG"
"HiG_1"	0	"FAM13B"	916	"HiG"
"HiG_1"	143923	"DCN"	1	"HiG"
"HiG_1"	2297	"GRN"	163	"HiG"
"HiG_1"	26	"VAMP3"	521.5	"HiG"
"HiG_1"	235	"PKP2"	428	"HiG"
"HiG_1"	929	"LMCD1"	360	"HiG"
"HiG_1"	19	"CTTNBP2"	533.5	"HiG"
"HiG_1"	1145	"FAM107B"	300.5	"HiG"
"HiG_1"	0	"HEATR6"	916	"HiG"
"HiG_1"	1148	"PPP1R15A"	293.5	"HiG"
"HiG_1"	0	"CCDC80"	916	"HiG"
"HiG_1"	2154	"TGFBR3"	185	"HiG"
"HiG_1"	0	"GADD45B"	916	"HiG"
"HiG_1"	27	"SNAP29"	519.5	"HiG"
"HiG_1"	1995	"XBP1"	191	"HiG"
"HiG_1"	2275	"MYH9"	172	"HiG"
"HiG_1"	0	"FAM118A"	916	"HiG"
"HiG_1"	0	"NID2"	916	"HiG"
"HiG_1"	8159	"CHGA"	61	"HiG"
"HiG_1"	450	"CST4"	398	"HiG"
"HiG_1"	3230	"USP11"	124	"HiG"
"HiG_1"	0	"TIMP1"	916	"HiG"
"HiG_1"	1	"ARL2BP"	661	"HiG"
"HiG_1"	0	"MMP15"	916	"HiG"
"HiG_1"	3381	"NME4"	116	"HiG"
"HiG_1"	4	"DECR2"	605.5	"HiG"
"HiG_1"	357	"PLAT"	408	"HiG"
"HiG_1"	1226	"DKK4"	252	"HiG"
"HiG_1"	0	"DCTN6"	916	"HiG"
"HiG_1"	9	"PAF1"	566	"HiG"
"HiG_1"	0	"TLE5"	916	"HiG"
"HiG_1"	0	"PLIN3"	916	"HiG"
"HiG_1"	2495	"TFPI2"	145	"HiG"
"HiG_1"	0	"MPP6"	916	"HiG"
"HiG_1"	3200	"FKBP14"	126	"HiG"
"HiG_1"	1106	"PCOLCE"	336	"HiG"
"HiG_1"	2982	"FIS1"	132	"HiG"
"HiG_1"	1569	"MEST"	216	"HiG"
"HiG_1"	0	"AEBP1"	916	"HiG"
"HiG_1"	2454	"MYL7"	147	"HiG"
"HiG_1"	116	"CYP26A1"	451	"HiG"
"HiG_1"	0	"ATE1"	916	"HiG"
"HiG_1"	18987	"ACTA2"	27	"HiG"
"HiG_1"	1975	"MED31"	193	"HiG"
"HiG_1"	0	"CCL2"	916	"HiG"
"HiG_1"	53684	"COL1A1"	8	"HiG"
"HiG_1"	0	"APOC3"	916	"HiG"
"HiG_1"	31	"SYT10"	514	"HiG"
"HiG_1"	0	"CDKN1B"	916	"HiG"
"HiG_1"	0	"MGP"	916	"HiG"
"HiG_1"	855	"CAP2"	368	"HiG"
"HiG_1"	0	"SNX3"	916	"HiG"
"HiG_1"	0	"TMEM30A"	916	"HiG"
"HiG_1"	563	"ISL1"	384.5	"HiG"
"HiG_1"	0	"HBEGF"	916	"HiG"
"HiG_1"	97520	"SPARC"	4	"HiG"
"HiG_1"	1168	"HAND1"	264	"HiG"
"HiG_1"	0	"THG1L"	916	"HiG"
"HiG_1"	75	"CRBN"	472.5	"HiG"
"HiG_1"	0	"HES1"	916	"HiG"
"HiG_1"	0	"TNNC1"	916	"HiG"
"HiG_1"	2044	"TMSB10"	189	"HiG"
"HiG_1"	2391	"TFPI"	153	"HiG"
"HiG_1"	4459	"APOB"	97	"HiG"
"HiG_1"	5592	"IGFBP5"	85	"HiG"
"HiG_1"	1094	"ID2"	341	"HiG"
"HiG_1"	0	"ODC1"	916	"HiG"
"HiG_1"	0	"CLCN6"	916	"HiG"
"HiG_1"	1209	"TMEM59"	256.5	"HiG"
"HiG_1"	0	"C1orf21"	916	"HiG"
"HiG_1"	0	"PRDM2"	916	"HiG"
"HiG_1"	0	"RGS2"	916	"HiG"
"HiG_1"	8	"CAMSAP2"	571	"HiG"
"HiG_1"	101	"FILIP1"	459.5	"HiG"
"HiG_1"	0	"IFI27L2"	916	"HiG"
"HiG_1"	0	"YIPF4"	916	"HiG"
"HiG_1"	41	"HOXB5"	503	"HiG"
"HiG_1"	467	"HOXB7"	396	"HiG"
"HiG_1"	0	"PRRX1"	916	"HiG"
"HiG_1"	31	"EGR1"	514	"HiG"
"HiG_1"	0	"WASHC3"	916	"HiG"
"HiG_1"	54	"TFG"	488	"HiG"
"HiG_1"	6	"FYTTD1"	587	"HiG"
"HiG_1"	0	"INHBA"	916	"HiG"
"HiG_1"	1042	"IFT81"	348	"HiG"
"HiG_1"	901	"RSRP1"	363	"HiG"
"HiG_1"	0	"PLA2G12A"	916	"HiG"
"HiG_1"	1330	"ATP5F1E"	232	"HiG"
"HiG_1"	519	"SRSF6"	387.5	"HiG"
"HiG_1"	2622	"PTGIS"	139	"HiG"
"HiG_1"	0	"COL21A1"	916	"HiG"
"HiG_1"	11154	"SOX4"	43	"HiG"
"HiG_1"	0	"SSR1"	916	"HiG"
"HiG_1"	9138	"BMP4"	53	"HiG"
"HiG_1"	0	"ALKBH7"	916	"HiG"
"HiG_1"	2	"TMX4"	635	"HiG"
"HiG_1"	1149	"HSPB1"	289	"HiG"
"HiG_1"	1512	"GNG11"	220	"HiG"
"HiG_1"	0	"EAPP"	916	"HiG"
"HiG_1"	0	"DHX40"	916	"HiG"
"HiG_1"	0	"CNN1"	916	"HiG"
"HiG_1"	41179	"APOE"	11	"HiG"
"HiG_1"	2460	"GADD45G"	146	"HiG"
"HiG_1"	7461	"BST2"	66	"HiG"
"HiG_1"	2383	"PXDN"	154	"HiG"
"HiG_1"	105	"GDF15"	457	"HiG"
"HiG_1"	1146	"HRC"	298.5	"HiG"
"HiG_1"	4417	"RBM39"	99	"HiG"
"HiG_1"	0	"CAPN7"	916	"HiG"
"HiG_1"	32	"RAMP2"	512	"HiG"
"HiG_1"	0	"NDFIP1"	916	"HiG"
"HiG_1"	2255	"ACTR10"	176	"HiG"
"HiG_1"	4693	"LGALS3"	92	"HiG"
"HiG_1"	1236	"SERPINF1"	250	"HiG"
"HiG_1"	2263	"KDM6B"	175	"HiG"
"HiG_1"	68	"MATN2"	476	"HiG"
"HiG_1"	2803	"JAG1"	135	"HiG"
"HiG_1"	0	"MED10"	916	"HiG"
"HiG_1"	1	"BTG1"	661	"HiG"
"HiG_1"	0	"MICAL2"	916	"HiG"
"HiG_1"	10356	"SARAF"	48	"HiG"
"HiG_1"	255	"KIDINS220"	423	"HiG"
"HiG_1"	0	"SPX"	916	"HiG"
"HiG_1"	0	"RTL8C"	916	"HiG"
"HiG_1"	12	"TUT4"	555	"HiG"
"HiG_1"	1955	"PDGFRA"	194	"HiG"
"HiG_1"	15	"DZIP1"	542	"HiG"
"HiG_1"	90	"APC"	465	"HiG"
"HiG_1"	0	"TBX3"	916	"HiG"
"HiG_1"	0	"PNPLA8"	916	"HiG"
"HiG_1"	0	"GDF11"	916	"HiG"
"HiG_1"	0	"PPP1R1A"	916	"HiG"
"HiG_1"	0	"LAMC1"	916	"HiG"
"HiG_1"	1133	"REV1"	319.5	"HiG"
"HiG_1"	4486	"KDELR2"	96	"HiG"
"HiG_1"	1	"TANK"	661	"HiG"
"HiG_1"	0	"GYPC"	916	"HiG"
"HiG_1"	0	"STX17"	916	"HiG"
"HiG_1"	1154	"DCTN3"	271.5	"HiG"
"HiG_1"	7727	"SULF1"	63	"HiG"
"HiG_1"	0	"C11orf1"	916	"HiG"
"HiG_1"	2	"THBS1"	635	"HiG"
"HiG_1"	1309	"ADAM10"	237	"HiG"
"HiG_1"	4024	"ARHGAP29"	104	"HiG"
"HiG_1"	3097	"SLC40A1"	130	"HiG"
"HiG_1"	518	"COL8A1"	389	"HiG"
"HiG_1"	0	"RXYLT1"	916	"HiG"
"HiG_1"	1097	"SNCAIP"	340	"HiG"
"HiG_1"	13	"NUAK1"	549.5	"HiG"
"HiG_1"	7	"N4BP2"	577.5	"HiG"
"HiG_1"	0	"KLF3"	916	"HiG"
"HiG_1"	1	"TRAF5"	661	"HiG"
"HiG_1"	1120	"SPECC1"	326	"HiG"
"HiG_1"	1949	"DSG2"	195	"HiG"
"HiG_1"	42	"LPIN2"	501	"HiG"
"HiG_1"	236	"MPP5"	426.5	"HiG"
"HiG_1"	0	"TAOK1"	916	"HiG"
"HiG_1"	2286	"ALDH2"	166	"HiG"
"HiG_1"	103	"FAF2"	458	"HiG"
"HiG_1"	0	"SPAG9"	916	"HiG"
"HiG_1"	89	"PIK3C3"	466.5	"HiG"
"HiG_1"	4182	"KMT2C"	103	"HiG"
"HiG_1"	14	"CSPP1"	544.5	"HiG"
