"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"CTS_Elorbany.CP"	"Maven2023_gene_ISL_up_L"	944	76	20	"STMN1, SFRP1, CENPV, TYMS, HEY1, TMSB15A, CCDC34, ATF7IP2, CCBE1, VIM, PTGIS, LIX1, CLSTN2, NXPH2, SYT10, CTSV, FBXO17, ARL4C, HOXB2, ZNF503"	11.3256871047498	1.26792094354539e-13	2.15546560402717e-12	12.8969078244136	11.6664589030353
"CTS_Elorbany.CP"	"Maven2023_gene_ISL_dn_E"	448	76	15	"CREG1, BMP4, WASF1, SLC5A3, NID2, EMP2, RGS5, FIGN, GATA6-AS1, MPZL1, DLK1, PLIN2, TMEM88, SAT1, PBX3"	16.9190990499289	3.46637902933633e-13	3.9285628999145e-12	12.4601239513309	11.4057662890083
"CTS_Elorbany.CP"	"Takeuchi_gp5"	300	76	12	"SFRP1, VIM, PRRX1, PBX3, HEY1, PDGFRA, HOXB4, CREG1, DLK1, GATA6-AS1, HOXB3, CCDC18-AS1"	19.4956209104677	1.25068096210718e-11	1.0630788177911e-10	10.9028534609438	9.97343453522949
"CTS_Elorbany.CP"	"Maven2023_gene_ISL_up_E"	121	76	8	"SFRP1, CCDC34, HEY1, ATF7IP2, CENPV, ZNF503, CCBE1, TMSB15A"	31.3368440029648	7.66595523496565e-10	5.21284955977664e-09	9.11543372111926	8.28292480841302
"CTS_Elorbany.CP"	"Maven2023_gene_ISL_up_T"	155	76	7	"STMN1, CCDC34, CCBE1, ATF7IP2, CENPV, HEY1, SFRP1"	20.6016838334004	1.29770766154422e-07	7.35367674875061e-07	6.88682313132421	6.1334954646656
"CTS_Elorbany.CP"	"Maven2023_gene_ISL_dn_L"	586	76	11	"GATA6-AS1, KIFAP3, PBX3, NID2, CREG1, BMP4, TERF2IP, RGS5, ZNF83, TXNIP, TMEM88"	8.72776197534012	2.36085367654596e-07	1.14670035717947e-06	6.62693092924399	5.94055005221599
"CTS_Elorbany.CP"	"Maven2023_gene_ISL1_targets_CP_E"	111	76	5	"RGS5, MPZL1, ATF7IP2, CCBE1, FIGN"	19.9977083719414	9.0318385241529e-06	3.83853137276498e-05	5.04422383555344	4.41583490550313
"CTS_Elorbany.CP"	"Takeuchi_gp10"	300	76	7	"HEY1, SNAI2, CCBE1, HOXB2, PBX3, TERF2IP, PLIN2"	10.3643293728231	1.05752471968918e-05	3.99509338549244e-05	4.97570947218069	4.39847306457776
"CTS_Elorbany.CP"	"Xie_SHF specific"	30	76	3	"SFRP1, CRABP1, PRXL2A"	45.8948446444148	5.85675586296065e-05	0.000199129699340662	4.2323428790246	3.70086396198235
"CTS_Elorbany.CP"	"Elorbany_TD_A10_to_9"	169	76	5	"SYT10, HOXB5, HBE1, TERF2IP, TXNIP"	12.9056349397986	6.81245696132453e-05	0.000210566851531849	4.16669622842441	3.67660999654038
"CTS_Elorbany.CP"	"Takeuchi_gp28"	300	76	6	"DLK1, SYT10, HOXB5, AFAP1L2, HOXB2, VIM"	8.72591502524505	0.000109293354316638	0.000309664503897141	3.96140624492458	3.50910857392995
"CTS_Elorbany.CP"	"Xie_JCF specific"	39	76	3	"BMP4, ARL4C, DLK1"	34.440469395967	0.000129713057264304	0.000339249534383564	3.88701630446787	3.46948073973245
"CTS_Elorbany.CP"	"Maven2023_gene_ISL1_targets_CP_T"	110	76	4	"RGS5, ATF7IP2, CCBE1, LIX1"	15.7844304017943	0.000172244468811147	0.000408843547656198	3.76385471544859	3.38844285186668
"CTS_Elorbany.CP"	"Maven2023_gene_ISL1_targets_CP_L"	208	76	5	"RGS5, ATF7IP2, CCBE1, NXPH2, LIX1"	10.4141107632108	0.000180372153377735	0.000408843547656198	3.74383050985325	3.38844285186668
"CTS_Elorbany.CP"	"Elorbany_C1_RegulonWT1_target"	180	76	4	"PBX3, ARRDC3, AFAP1L2, PRRX1"	9.48881782844775	0.00110573978013749	0.00234969703279216	2.95634706593114	2.62898813154481
"CTS_Elorbany.CP"	"Elorbany_C1_RegulonSOX4_target"	94	76	3	"PBX3, MSI2, TXNIP"	13.6124299462799	0.00172348648545737	0.00344697297091475	2.76359211771835	2.46256212205437
"CTS_Elorbany.CP"	"Maven2023_gene_ISL1_WT_d6CP"	1368	76	9	"RGS5, MPZL1, AFAP1L2, LGR4, ATF7IP2, CCBE1, NXPH2, FIGN, LIX1"	2.8541309674182	0.00712548513396567	0.0127508681344649	2.14718556165886	1.89446024556943
