"GO_BP"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"CTS_Ibarra"	"GO:0045766_positive regulation of angiogenesis"	136	37	4	"GATA4, GATA6, ISL1, TWIST1"	27.6690880868764	2.28228736326144e-05	0.0114880564635024	4.64162967436934	1.93975343855031
"CTS_Ibarra"	"GO:0030178_negative regulation of Wnt signaling pathway"	46	37	3	"SFRP5, DACT1, NKD1"	61.9301189609924	2.45095252387544e-05	0.0115145749571668	4.61066510115862	1.93875208871703
"CTS_Ibarra"	"GO:0007163_establishment or maintenance of cell polarity"	49	37	3	"RND3, SFRP5, PARD6B"	57.8993964590799	2.96723459302823e-05	0.0130688138606687	4.52764811649742	1.88376382765608
"CTS_Ibarra"	"GO:0045732_positive regulation of protein catabolic process"	71	37	3	"PLK2, DACT1, NKD1"	39.1595273909561	9.03637046168858e-05	0.0289451375652361	4.04400597273075	1.53842438205569
"CTS_Ibarra"	"GO:0007507_heart development"	197	37	4	"ISL1, MEF2C, TBX5, PDLIM3"	18.8805774171641	9.66162209102841e-05	0.0296023699458597	4.01494995370427	1.52867351822459
"CTS_Ibarra"	"GO:0008285_negative regulation of cell population proliferation"	405	37	5	"MSX2, PTH1R, SFRP5, TBX5, MYOCD"	11.6625215227544	0.00012734426934355	0.0358958026425599	3.89502059407274	1.44495633124751
"CTS_Ibarra"	"GO:0007409_axonogenesis"	82	37	3	"ISL1, NTNG1, PARD6B"	33.6711949670291	0.000138728397612187	0.0376007314605032	3.85783463003043	1.42480370650398
"CTS_Pijuan"	"GO:0001656_metanephros development"	29	52	6	"BMP7, FGF8, FGF10, ROBO2, SPRY1, IRX3"	170.488849565815	8.7159297244513e-12	6.14211567682083e-08	11.0596862800786	7.21168200858134
"CTS_Pijuan"	"GO:0001657_ureteric bud development"	35	52	6	"BMP7, FGFR2, RARB, ROBO2, SPRY1, OSR1"	135.761322279551	2.95508968863801e-11	1.0412258517916e-07	10.5294293335003	6.98245505766704
"CTS_Pijuan"	"GO:0060037_pharyngeal system development"	19	52	5	"BMP7, FGF8, ISL1, PLXNA2, TBX1"	229.201289510909	1.39217561211837e-10	3.27022051286605e-07	9.85630597840111	6.4854229616235
"CTS_Pijuan"	"GO:0003148_outflow tract septum morphogenesis"	25	52	5	"FGF8, FGFR2, ISL1, ROBO2, TBX1"	159.725521245715	6.31189279102439e-10	1.11199771245872e-06	9.19984038632936	5.95389610616005
