"signature"	"gene"	"PageRank"	"PPI_cat"	"EigenCentrality"	"p.PageRank"	"rank_by_p.PR"	"rank_by_PR"	"annd"	"p.annd"	"strength"	"rank_by_strength"	"normalized.strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"rank_by_p.ANND"
"HiG_1"	"Tpm1"	0.00737735153079858	"HiG"	2.93008187598677e-18	0.966	11.5	29	1	0	0.00251476560921823	107.5	9.38345376573968e-06	107	105	56.5
"HiG_1"	"Tpm4"	0.00737735153079295	"HiG"	2.82364572904945e-18	0.966	11.5	36	1	0	0.00251476560921823	107.5	9.38345376573968e-06	108	105	56.5
"HiG_1"	"Trim28"	0.0070322900525676	"HiG"	0.0290259592925105	0.977	101	43	6.10431215932727	0	0.123256668610055	27	0.000459912942574833	27	45	56.5
"HiG_1"	"Trp53"	0.0061958646759609	"HiG"	0.0148826734534182	0.972	59	52	6.96556238236489	0	0.089734970912385	33	0.000334831981016362	33	39	56.5
"HiG_1"	"Tuba1a"	0.0122756124329309	"HiG"	0.152547368690738	0.976	94.5	15	6.19843416982828	0	0.214945466096101	11	0.000802035321254109	11	44	56.5
"HiG_1"	"Tubb2b"	0.00270989706854256	"HiG"	1.48242357031916e-05	0.972	59	92	6	0	0.0109840376975154	99	4.09852152892366e-05	99	51	56.5
"HiG_1"	"Twist1"	0.0349211094219017	"HiG"	0.00908881719990608	0.968	29.5	2	2.07694711406097	0	0.582125430635862	4	0.00217210981580545	4	86	56.5
"HiG_1"	"Ubc"	0.0143320455986702	"HiG"	0.000744091199409054	0.972	59	13	2.28913782894535	0	0.0834595161470887	36	0.00031141610502645	36	83	56.5
"HiG_1"	"Ube2r2"	0.00192212138569115	"HiG"	0.000289418106215687	0.972	59	103	2	0	0.00935548228723482	100	3.49085159971449e-05	100	91.5	56.5
"HiG_1"	"Xist"	0.00309503003667302	"HiG"	0.00103010476217647	0.969	40.5	89	6	0	0.0330262981081015	73	0.000123232455627245	73	51	56.5
"HiG_1"	"Ywhae"	0.025880536833927	"HiG"	0.297919942635671	0.977	101	5	5.98635756575536	0	0.477059108092114	6	0.00178007129885117	6	56	56.5
"HiG_1"	"Ywhaq"	0.00526540395307835	"HiG"	0.0449147559187588	0.977	101	62	12.2766608717199	0	0.0897235221831218	34	0.00033478926187732	34	15	56.5
"HiG_10"	"Actg1"	0.00692786238763174	"HiG"	0.0750852250363702	0.913	136	30	9.08756805275836	0	0.396422130948954	28	0.00112619923565044	28	70	83
"HiG_10"	"Aldoa"	0.00492742043788892	"HiG"	0.000908357002413099	0.887	20	59	3.05028706516502	0	0.294390444869376	40	0.000836336491106182	40	127	83
"HiG_10"	"Anp32a"	0.00371980070172304	"HiG"	0.0104634423776754	0.896	65.5	78	7.24434840652359	0	0.196422528360996	65	0.000558018546480104	65	85	83
"HiG_10"	"Anp32b"	0.00322677652829241	"HiG"	0.000379109595311846	0.892	52.5	92	3	0	0.118481115980496	92	0.000336594079490046	92	132	83
"HiG_10"	"Apex1"	0.00132983849481656	"HiG"	0.000183462934743819	0.904	94.5	150	4	0	0.0244012795051238	153	6.93218167759199e-05	153	114	83
"HiG_10"	"Apoe"	0.00328395870363107	"HiG"	0.0143384344631624	0.897	69.5	89	9	0	0.198928595435771	63	0.000565138055215259	63	72	83
"HiG_10"	"Arpc1b"	0.00558912593865653	"HiG"	1.48593197414948e-05	0.892	52.5	45	2.53972602471288	0	0.209922208098818	59	0.000596369909371642	59	139	83
"HiG_10"	"Arpc2"	0.00549101823465807	"HiG"	2.01708616517097e-05	0.89	34.5	47	2.62417489678054	0	0.205775304467316	61	0.000584588933145784	61	137	83
"HiG_10"	"Arpc5"	0.00471716046816266	"HiG"	3.02566623751675e-06	0.888	24	63	3	0	0.173957254264138	72	0.000494196745068573	72	132	83
"HiG_10"	"Asap1"	0.00324133938074628	"HiG"	0.00187300497599915	0.89	34.5	91	16.1773480470381	0	0.102852545834728	99	0.000292194732485023	99	42	83
"HiG_10"	"Atp5b"	0.00609606504279131	"HiG"	0.0285566334441388	0.903	88.5	37	8.34798575445941	0	0.367002984830166	36	0.00104262211599479	36	75	83
"HiG_10"	"Atp6v0b"	0.00422622196182874	"HiG"	0	0.875	4.5	71	2	0	0.0693923056364147	116	0.000197137231921633	116	149	83
"HiG_10"	"Atxn10"	0.00132859851296093	"HiG"	0.0260613059657037	0.904	94.5	151	19	0	0.0482712828216429	130	0.000137134326197849	130	33.5	83
"HiG_10"	"Basp1"	0.00103523723322786	"HiG"	0.000477144424980389	0.888	24	160	32	0	0.0124202474050472	158	3.52847937643387e-05	158	9.5	83
"HiG_10"	"Bin1"	0.0473219196556321	"HiG"	0.0380356395768155	0.891	42	1	2.25069344955554	0	1.9301035473976	3	0.00548324871419773	3	143	83
"HiG_10"	"Brix1"	0.00258392525944384	"HiG"	0.0687216220587809	0.914	142.5	110	28	0	0.14732369075526	78	0.000418533212372897	78	19	83
"HiG_10"	"Bzw2"	0.0051759834368535	"HiG"	0	0.877	13.5	51	1	0	0.0308426292884566	145.5	8.76211059331155e-05	145	162.5	83
"HiG_10"	"Cald1"	0.00286424854559886	"HiG"	0.00384873885681813	0.891	42	101	32	0	0.10018410840924	100	0.000284613944344432	100	9.5	83
"HiG_10"	"Capns1"	0.00335227651122918	"HiG"	0.00584639499240229	0.901	82	86	2.66500895903398	0	0.0412393745829087	135	0.000117157314155991	135	136	83
"HiG_10"	"Cbx1"	0.00347538867810736	"HiG"	0.0267004204903555	0.91	121.5	84	5.37790837026045	0	0.195845944418212	66	0.000556380523915374	66	97	83
"HiG_10"	"Ccnd1"	0.00309697662741753	"HiG"	0.0328368174215904	0.907	106.5	97	10.799300644041	0	0.131961352249635	86	0.000374890205254643	86	60	83
"HiG_10"	"Ccnd2"	0.00264307772716542	"HiG"	0.01067382602874	0.898	72.5	107	9	0	0.148086544962645	77	0.000420700411825696	77	72	83
"HiG_10"	"Cct4"	0.00573188482564569	"HiG"	0.0104729164992843	0.899	76.5	43	4.43827476727024	0	0.373138419831029	34	0.00106005232906542	34	105	83
"HiG_10"	"Cct8"	0.00815065147333602	"HiG"	0.0180114250831627	0.905	98	24	7.25803510022445	0	0.534589410358372	22	0.00151871991579083	22	84	83
"HiG_10"	"Cd81"	0.0120156972940533	"HiG"	0	0.875	4.5	14	1.61713301247225	0	0.327185439580498	38	0.000929504089717323	38	156	83
"HiG_10"	"Cdh5"	0.00127044287809573	"HiG"	6.89157086671847e-05	0.898	72.5	154	4	0	0.0150890844423091	157	4.28667171656507e-05	157	114	83
"HiG_10"	"Cdk1"	0.00259545622997219	"HiG"	0.00398831867049891	0.894	61.5	109	3	0	0.0976042158936929	101	0.000277284704243446	101	132	83
"HiG_10"	"Cfl2"	0.00142732094147644	"HiG"	0.00332317326605488	0.903	88.5	145	5	0	0.0438197217113103	133	0.000124487845770768	133	99.5	83
"HiG_10"	"Cnn2"	0.00227626701379365	"HiG"	0.000402453581138389	0.889	29	118	2	0	0.0656891514977079	119	0.000186616907663943	119	149	83
"HiG_10"	"Cnn3"	0.00598733361889907	"HiG"	0.00606587226176507	0.892	52.5	38	22.8638592135217	0	0.222891015366446	56	0.000633213111836495	56	28	83
"HiG_10"	"Cotl1"	0.00207265117551169	"HiG"	0.00661779149001767	0.906	102	126	5	0	0.0872629135525979	107	0.00024790600441079	107	99.5	83
"HiG_10"	"Creld2"	0.00213386850948033	"HiG"	0.145500778860035	0.908	109.5	123	10	0	0.144057686028276	79	0.000409254789853056	79	63	83
"HiG_10"	"Crip2"	0.000884129614823966	"HiG"	0.000198593056067098	0.887	20	164	32	0	0.00516945134458849	164	1.46859413198537e-05	164	9.5	83
"HiG_10"	"Csrp1"	0.00198961805387861	"HiG"	0.00223644740960081	0.892	52.5	128	32	0	0.0582155604914814	124	0.000165385115032618	124	9.5	83
"HiG_10"	"Ctnna1"	0.0051759834368535	"HiG"	0	0.876	8.5	51	1	0	0.0235832283164356	154.5	6.69978077171466e-05	154	162.5	83
"HiG_10"	"Ctsl"	0.00517598343684955	"HiG"	0	0.876	8.5	54	1	0	0.0235832283164356	154.5	6.69978077171466e-05	155	162.5	83
"HiG_10"	"Dbn1"	0.00168540964195868	"HiG"	0.00874117446231538	0.909	114.5	139	11	0	0.0710334635378079	115	0.000201799612323318	115	59	83
"HiG_10"	"Ddah2"	0.00151445123267369	"HiG"	0.00136052619591967	0.892	52.5	142	32	0	0.0354150044927476	141	0.000100610808218033	141	9.5	83
"HiG_10"	"Ddx39b"	0.00587574957174672	"HiG"	0.135451479990052	0.92	157	42	14.3366500570082	0	0.429902843132205	27	0.00122131489526195	27	47	83
"HiG_10"	"Ddx5"	0.0129278818020856	"HiG"	0.596644033046058	0.925	162	10	13.1768423920756	0	1.11121919866131	8	0.00315687272346962	8	49	83
"HiG_10"	"Dek"	0.0051759834368535	"HiG"	0	0.874	1.5	51	1	0	0.00692296032629015	161.5	1.96675009269606e-05	161	162.5	83
"HiG_10"	"Dkc1"	0.00167076993593379	"HiG"	0.0255816154579713	0.908	109.5	140	16.012224654718	0	0.075643872035743	112	0.000214897363737906	112	44	83
"HiG_10"	"Dnaja1"	0.00373789059866862	"HiG"	0.139768630832295	0.914	142.5	77	19	0	0.258882310709149	48	0.000735461109969173	48	33.5	83
"HiG_10"	"Dnajc3"	0.0031599254113718	"HiG"	0.106688886201804	0.906	102	94	4.98912151670316	0	0.168942950444928	75	0.000479951563763999	75	101	83
"HiG_10"	"Ebna1bp2"	0.00132736941206286	"HiG"	0.00415446858117397	0.889	29	152	11.3694658915801	0	0.0307273383663728	147	8.72935749044683e-05	147	54	83
"HiG_10"	"Eif3e"	0.00177226591595437	"HiG"	0.00647128713618765	0.909	114.5	135	2	0	0.0683991351090433	117	0.0001943157247416	117	149	83
"HiG_10"	"Eif3m"	0.00414843492591861	"HiG"	0.0936722983964808	0.915	147	72	7.45820071087556	0	0.242187578938791	52	0.000688032894712475	52	82	83
