"signature"	"gene"	"PPI_cat"	"normalized.strength"	"PCGC_AllCurated"
"HiG_7"	"Hsp90ab1"	"HiG"	0.00641910357072405	FALSE
"HiG_7"	"Hsp90aa1"	"HiG"	0.00636656295891756	FALSE
"HiG_7"	"Mrto4"	"HiG"	0.00633047178382822	FALSE
"HiG_7"	"Trp53"	"HiG"	0.00611629965381398	FALSE
"HiG_8"	"Npm1"	"HiG"	0.0133976724303053	FALSE
"HiG_8"	"Hspa8"	"HiG"	0.0112597691196548	FALSE
"HiG_8"	"Hspa5"	"HiG"	0.0102773913784152	FALSE
"HiG_8"	"Ncl"	"HiG"	0.00968685067310823	FALSE
"HiG_8"	"Eif4a1"	"HiG"	0.00955531054525921	FALSE
"HiG_9"	"Hsp90aa1"	"HiG"	0.00927323576086853	FALSE
"HiG_9"	"Npm1"	"HiG"	0.00915275469895717	FALSE
"HiG_9"	"Hspa8"	"HiG"	0.00841647360119414	FALSE
"HiG_9"	"Trp53"	"HiG"	0.00805505205924869	FALSE
"HiG_9"	"Hspd1"	"HiG"	0.00774368327051576	FALSE
