signature	gene	PageRank	BetweennessCentrality	is_CHD	is_TF
HiG_cardiac.a	TSC22D1	0.00215750066944895	514	FALSE	FALSE
HiG_cardiac.a	TSEN34	0.000905861514250271	0	FALSE	FALSE
HiG_cardiac.a	TSPAN3	0.000744239008632833	0	FALSE	FALSE
HiG_cardiac.a	TSPAN6	0.000977323407006604	0	FALSE	FALSE
HiG_cardiac.a	TSPAN7	0.000555113016579281	0	FALSE	FALSE
HiG_cardiac.a	TTC3	0.00110605322660951	2	FALSE	FALSE
HiG_cardiac.a	TUBA1A	0.00890624328213786	3714	FALSE	FALSE
HiG_cardiac.a	TUBB2B	0.00287682592806579	34	FALSE	FALSE
HiG_cardiac.a	TUBB6	0.00320800032917605	9	FALSE	FALSE
HiG_cardiac.a	TWIST1	0.00371247132218716	1367	TRUE	FALSE
HiG_cardiac.a	TXNDC12	0.00164457766266786	358	FALSE	FALSE
HiG_cardiac.a	TXNDC5	0.00269509473300845	329	FALSE	FALSE
